restaurant_id,restaurant_name,num_collection,num_review,num_category_restaurant,num_revisit,influential_review_score,score
2Fy7dYRDV-dtqwZpBC_ViA,써리얼파스타바,11,677,125,180,4,1761
ehk7VsRL_XUzDkdN5CkkGQ,비딸레,4,669,486,117,0,1760
ZvSMWwPXIHV3jWEadR5j0A,푼주,42,868,286,78,6,1760
qBkhZ-KS8W0fdewPcPoMqA,휴135,41,888,171,92,35,1759
d4r57G4S6uniG5iSO462mw,우감만족,84,626,406,50,54,1756
jiSdq_u_Zmi03QVoHrNJKA,스시유우히,10,633,501,114,0,1754
O2qpYYtyik3i0JpDuNWF9Q,스시 아리가,30,605,501,96,16,1752
Ycaz9wlMsp7i-O-3xnNPDA,스시앤바당,62,646,501,56,12,1749
fm7Cz3HNalWdh-SVYkYjCw,스시한다,59,423,501,95,50,1744
_sHCG6srBF8sS5qsFLupcg,몫몫,34,896,307,74,0,1743
5tnc5wSvWopPKExpQaWEvg,코타바이뎐,68,776,286,67,6,1743
r-43QGvfHZVGnigLougQLw,스시미치루,24,876,501,48,6,1743
